,광역시도,시군,pop,moon,hong,ahn,yu,sim
188,전라남도,구례군,18924,11873.0,628.0,5188.0,285.0,639.0
189,전라남도,고흥군,47036,26882.0,1349.0,15614.0,703.0,1195.0
190,전라남도,보성군,29967,16666.0,732.0,10514.0,537.0,945.0
191,전라남도,화순군,43572,25867.0,770.0,13832.0,727.0,1662.0
192,전라남도,장흥군,27149,14821.0,636.0,9593.0,513.0,975.0
193,전라남도,강진군,25175,12476.0,753.0,10152.0,489.0,890.0
194,전라남도,완도군,34886,20945.0,762.0,11021.0,521.0,975.0
195,전라남도,해남군,48351,25901.0,1158.0,18157.0,778.0,1581.0
196,전라남도,진도군,21189,10392.0,511.0,8855.0,323.0,686.0
197,전라남도,영암군,36402,18999.0,825.0,13610.0,674.0,1773.0
198,전라남도,무안군,52516,29516.0,983.0,18052.0,979.0,2366.0
199,전라남도,영광군,35919,20595.0,819.0,11675.0,686.0,1320.0
200,전라남도,함평군,23368,13539.0,471.0,7831.0,359.0,788.0
201,전라남도,신안군,28950,14370.0,713.0,12000.0,459.0,890.0
202,경상북도,포항시북구,171444,38629.0,77138.0,26901.0,17421.0,9682.0
203,경상북도,포항시남구,150740,34808.0,66319.0,24728.0,14382.0,8845.0
204,경상북도,울릉군,6810,1443.0,3520.0,973.0,524.0,261.0
205,경상북도,경주시,167296,38092.0,80090.0,23898.0,13779.0,9274.0
206,경상북도,김천시,92184,22255.0,43998.0,12803.0,6336.0,5458.0
207,경상북도,안동시,107357,23121.0,52978.0,15461.0,9186.0,5058.0
208,경상북도,구미시,246638,62573.0,98732.0,41141.0,25468.0,16027.0
209,경상북도,영주시,70861,15280.0,34504.0,10444.0,6451.0,3182.0
210,경상북도,영천시,66091,12250.0,35328.0,9175.0,5553.0,2606.0
211,경상북도,상주시,67717,12356.0,38171.0,9392.0,4021.0,2589.0
212,경상북도,문경시,49113,8616.0,27832.0,6905.0,2981.0,1973.0
213,경상북도,예천군,32124,5261.0,18863.0,4427.0,1840.0,1018.0
214,경상북도,경산시,160794,35602.0,72129.0,24606.0,17962.0,8551.0
215,경상북도,청도군,30398,5323.0,17678.0,3654.0,2145.0,965.0
216,경상북도,고령군,22396,3754.0,13248.0,2600.0,1523.0,839.0
217,경상북도,성주군,30070,5409.0,16788.0,3586.0,2056.0,1714.0
218,경상북도,칠곡군,72006,16872.0,31540.0,11340.0,7063.0,4327.0
219,경상북도,군위군,17627,2251.0,11651.0,1939.0,1054.0,470.0
220,경상북도,의성군,37855,5365.0,23790.0,4767.0,2184.0,1023.0
221,경상북도,청송군,18418,3218.0,10669.0,2387.0,1180.0,605.0
222,경상북도,영양군,12048,2281.0,6554.0,1701.0,697.0,438.0
223,경상북도,영덕군,26125,3786.0,16314.0,3231.0,1513.0,807.0
224,경상북도,봉화군,22947,4209.0,12536.0,3370.0,1423.0,934.0
225,경상북도,울진군,32568,6972.0,16867.0,4476.0,2275.0,1434.0
226,경상남도,창원시의창구,164047,60757.0,56887.0,22830.0,12134.0,9772.0
227,경상남도,창원시성산구,153327,63717.0,42052.0,22923.0,12512.0,10826.0
228,경상남도,창원시마산합포구,119281,35592.0,54488.0,14686.0,7491.0,5887.0
229,경상남도,창원시마산회원구,136757,45014.0,56340.0,17744.0,9228.0,7132.0
230,경상남도,창원시진해구,114779,41249.0,40049.0,17435.0,8732.0,6186.0
231,경상남도,진주시,222813,73929.0,93751.0,26687.0,14735.0,11243.0
232,경상남도,통영시,82855,25477.0,36128.0,10738.0,5332.0,4075.0
233,경상남도,고성군,34603,9848.0,16797.0,4104.0,1828.0,1459.0
234,경상남도,사천시,71555,22370.0,32475.0,8350.0,4135.0,3267.0
235,경상남도,김해시,318253,147972.0,82880.0,45126.0,21936.0,17441.0
236,경상남도,밀양시,70687,20842.0,32394.0,9073.0,4441.0,2940.0
237,경상남도,거제시,150230,68291.0,38775.0,20359.0,10941.0,10256.0
238,경상남도,의령군,19258,5115.0,10134.0,1984.0,820.0,690.0
239,경상남도,함안군,43866,13597.0,19809.0,5399.0,2452.0,1986.0
240,경상남도,창녕군,42878,10310.0,24464.0,3877.0,2013.0,1408.0
241,경상남도,양산시,199835,83412.0,58811.0,30945.0,14055.0,10705.0
242,경상남도,하동군,34324,11211.0,14864.0,4150.0,1792.0,1489.0
243,경상남도,남해군,30208,8680.0,14166.0,3906.0,1627.0,1248.0
244,경상남도,함양군,26640,7388.0,13008.0,3203.0,1315.0,1118.0
245,경상남도,산청군,24513,6561.0,12544.0,2753.0,1196.0,935.0
246,경상남도,거창군,41325,11256.0,19976.0,4923.0,2447.0,1923.0
247,경상남도,합천군,33021,7143.0,19699.0,3077.0,1317.0,1065.0
248,제주특별자치도,제주시,273163,125717.0,48027.0,55971.0,16885.0,23592.0
249,제주특별자치도,서귀포시,101296,43776.0,20036.0,21890.0,5899.0,8124.0
